year,FAO,UNFCCC,Research
2001,3740569,3505347,3216147
2002,4124768,3837726,3494225
2003,3208976,2930888,2633113
2004,4481563,4233172,3935195
2005,4919952,4533164,4113930
2006,4999501,4596154,4218640
2007,5869126,5369410,4805871
2008,5740530,5250222,4700262
2009,7271990,6663610,6082070
2010,6500178,6124297,5560284
2011,6090843,5715512,5147038
2012,7930083,7353058,6639202
2013,7143356,6291559,5383234
2014,9842523,8863837,7598625
2015,7791889,7131537,6230152
2016,11295852,10431739,9183197
2017,11303232,9837809,8286333
2018,9346261,8218572,6912773
